
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P1,QSPI_CSn0,,QSPI_CSn0,,,,,,,GPIO0,,,,,,,,
R3,QSPI_CSn1,,QSPI_CSn1,,,,,OUTPUTXBAR0,,GPIO1,,,,,,,,
N2,QSPI_CLK,,QSPI_CLK,,,,,,,GPIO2,,,,,,,,
N1,QSPI_D0,,QSPI_D0,,,,,,,GPIO3,,,,,,,,
N4,QSPI_D1,,QSPI_D1,,,,,,,GPIO4,,,,,,,,
M4,QSPI_D2,,QSPI_D2,,,,,,,GPIO5,,,,,,,,
P3,QSPI_D3,,QSPI_D3,,,,,,,GPIO6,,,,,,,,
M1,MCAN0_RX,MCAN0_RX,MCAN0_RX,SPI4_CS0,,,,,,GPIO7,,,,,,,,
L1,MCAN0_TX,MCAN0_TX,MCAN0_TX,SPI4_CLK,,,,,,GPIO8,,,,,,,,
L2,MCAN1_RX,MCAN1_RX,MCAN1_RX,SPI4_D0,,,,,,GPIO9,,,,,,,,
K1,MCAN1_TX,MCAN1_TX,MCAN1_TX,SPI4_D1,,,,,,GPIO10,,,,,,,,
C11,SPI0_CS0,,SPI0_CS0,UART3_RXD,LIN3_RXD,,,,,GPIO11,,,,,,,,
A11,SPI0_CLK,,SPI0_CLK,UART3_TXD,LIN3_TXD,,,,FSITX0_CLK,GPIO12,,,,,,,,
C10,SPI0_D0,,SPI0_D0,,,,,,FSITX0_D0,GPIO13,,,,,,,,
B11,SPI0_D1,,SPI0_D1,,,,,,FSITX0_D1,GPIO14,,,,,,,,
C9,SPI1_CS0,,SPI1_CS0,UART4_TXD,LIN4_TXD,,,OUTPUTXBAR1,,GPIO15,,,,,,,,
A10,SPI1_CLK,,SPI1_CLK,UART4_RXD,LIN4_RXD,,,OUTPUTXBAR2,FSIRX0_CLK,GPIO16,,,,,,,,
B10,SPI1_D0,,SPI1_D0,UART5_TXD,,,,OUTPUTXBAR3,FSIRX0_D0,GPIO17,,,,,,,,
